id,repository_name,date(YYY-MM-DDThh-mm-ss),run_time(second),count_files,loc
jonas/tig,jonas/tig,2023-11-21T21-37-33,6.94145342999991,91,43970
jonasmr/microprofile,jonasmr/microprofile,2023-11-21T21-37-39,4.120628680999744,31,80821
joncampbell123/dosbox-x,joncampbell123/dosbox-x,2023-11-21T21-37-44,265.3455026060001,3710,1833669
jonls/redshift,jonls/redshift,2023-11-21T21-42-09,2.9049963229999776,35,6364
jordansissel/xdotool,jordansissel/xdotool,2023-11-21T21-42-12,5.854367144000207,54,8296
joyent/libuv,joyent/libuv,2023-11-21T21-42-18,19.869383556999765,240,71784
jp9000/OBS,jp9000/OBS,2023-11-21T21-42-38,30.130397844000072,325,479672
jpmens/jo,jpmens/jo,2023-11-21T21-43-08,0.9816962590002732,5,2562
jqlang/jq,jqlang/jq,2023-11-21T21-43-09,7.254083909000201,75,46360
jtesta/ssh-mitm,jtesta/ssh-mitm,2023-11-21T21-43-16,108.25801639199972,1431,560558
juhovh/shairplay,juhovh/shairplay,2023-11-21T21-45-04,8.57829809399982,104,23856
julius-speech/julius,julius-speech/julius,2023-11-21T21-45-13,39.729638938000335,630,285345
julycoding/The-Art-Of-Programming-By-July-2nd,julycoding/The-Art-Of-Programming-By-July-2nd,2023-11-21T21-45-52,2.0671721280000384,36,5263
justinfrankel/licecap,justinfrankel/licecap,2023-11-21T21-45-55,26.18371394599989,307,188679
justinsteven/dostackbufferoverflowgood,justinsteven/dostackbufferoverflowgood,2023-11-21T21-46-21,0.8027555550002035,5,213
jvm-profiling-tools/perf-map-agent,jvm-profiling-tools/perf-map-agent,2023-11-21T21-46-22,0.214985648000038,3,444
karlstav/cava,karlstav/cava,2023-11-21T21-46-22,2.7976164780002364,41,6016
karpathy/llama2.c,karpathy/llama2.c,2023-11-21T21-46-25,0.5653388860000632,5,2398
kiddin9/openwrt-packages,kiddin9/openwrt-packages,2023-11-21T21-46-25,40.26331451900023,513,285493
kingToolbox/WindTerm,kingToolbox/WindTerm,2023-11-21T21-47-05,20.903831119000188,331,175939
kiukotsu/ucore,kiukotsu/ucore,2023-11-21T21-47-26,77.25357046499994,1420,154466
kkos/oniguruma,kkos/oniguruma,2023-11-21T21-48-44,8.304300481000155,94,101405
klange/toaruos,klange/toaruos,2023-11-21T21-48-52,40.66628764500001,621,133465
kn007/silk-v3-decoder,kn007/silk-v3-decoder,2023-11-21T21-49-33,10.451538922999587,141,25635
koekeishiya/skhd,koekeishiya/skhd,2023-11-21T21-49-43,1.963433127999906,23,3422
koekeishiya/yabai,koekeishiya/yabai,2023-11-21T21-49-45,2.643650715999684,44,13539
kohler/gifsicle,kohler/gifsicle,2023-11-21T21-49-48,2.0087941480001064,26,20568
kokke/tiny-AES-c,kokke/tiny-AES-c,2023-11-21T21-49-50,0.2261866720000398,3,979
kornelski/pngquant,kornelski/pngquant,2023-11-21T21-49-50,0.5634117250001509,7,1949
kosua20/herebedragons,kosua20/herebedragons,2023-11-21T21-49-50,25.655018130999903,155,164971
krakjoe/parallel,krakjoe/parallel,2023-11-21T21-50-16,2.567353473000366,40,7790
krakjoe/pthreads,krakjoe/pthreads,2023-11-21T21-50-19,1.54004014200018,30,8526
krallin/tini,krallin/tini,2023-11-21T21-50-20,0.3446428440001909,3,805
kripken/box2d.js,kripken/box2d.js,2023-11-21T21-50-20,20.62961658699988,308,133816
lambertjamesd/portal64,lambertjamesd/portal64,2023-11-21T21-50-41,19.820405041999948,339,42900
landley/toybox,landley/toybox,2023-11-21T21-51-01,17.027356115000202,296,85185
langhuihui/jessibuca,langhuihui/jessibuca,2023-11-21T21-51-18,4.164988504999656,67,29406
0x90/wifi-arsenal,0x90/wifi-arsenal,2023-11-21T21-11-40,9.022235461000037,133,40046
504ensicsLabs/LiME,504ensicsLabs/LiME,2023-11-21T21-11-49,0.3146494239999811,6,1083
abishekvashok/cmatrix,abishekvashok/cmatrix,2023-11-21T21-11-50,0.1254611100000602,1,894
acassen/keepalived,acassen/keepalived,2023-11-21T21-11-50,14.237356961999922,195,89934
acidanthera/Lilu,acidanthera/Lilu,2023-11-21T21-12-04,10.448153207000018,152,154576
acidanthera/OpenCorePkg,acidanthera/OpenCorePkg,2023-11-21T21-12-15,42.8264163020001,882,366069
adafruit/Adafruit-GFX-Library,adafruit/Adafruit-GFX-Library,2023-11-21T21-12-57,2.8325771260000465,60,22542
AdAway/AdAway,AdAway/AdAway,2023-11-21T21-13-00,35.945085382,408,183565
addy-dclxvi/almighty-dotfiles,addy-dclxvi/almighty-dotfiles,2023-11-21T21-13-36,0.0165313800000603,0,0
adrianlopezroche/fdupes,adrianlopezroche/fdupes,2023-11-21T21-13-36,3.827097995000031,53,8766
adsr/phpspy,adsr/phpspy,2023-11-21T21-13-40,1.9736411810000616,19,5426
aergoio/litetree,aergoio/litetree,2023-11-21T21-13-42,2.953401624999969,4,257472
ahrm/sioyek,ahrm/sioyek,2023-11-21T21-13-45,5.46476971300001,33,275237
Airblader/i3,Airblader/i3,2023-11-21T21-13-50,8.909117443000014,137,35916
akheron/jansson,akheron/jansson,2023-11-21T21-13-59,3.619947187999969,42,11448
akopytov/sysbench,akopytov/sysbench,2023-11-21T21-14-03,42.83461059900003,432,142517
albfan/miraclecast,albfan/miraclecast,2023-11-21T21-14-46,4.873843781000005,47,28006
Aleksoid1978/MPC-BE,Aleksoid1978/MPC-BE,2023-11-21T21-14-51,203.581162091,2643,929010
alephsecurity/xnu-qemu-arm64,alephsecurity/xnu-qemu-arm64,2023-11-21T21-18-14,257.393783013,4501,1947763
AlexAltea/orbital,AlexAltea/orbital,2023-11-21T21-22-32,4.911313392000011,94,94172
alexdobin/STAR,alexdobin/STAR,2023-11-21T21-22-37,17.920251253999822,167,77918
alibaba/GCanvas,alibaba/GCanvas,2023-11-21T21-22-54,13.068294340999955,277,99235
alibaba/tengine,alibaba/tengine,2023-11-21T21-23-08,33.0418468580001,590,338979
alibaba/xquic,alibaba/xquic,2023-11-21T21-23-41,13.786884521000047,263,85449
AllAlgorithms/c,AllAlgorithms/c,2023-11-21T21-23-54,9.407496880000052,148,11536
